t,0,1,2,3,4,5,6,7,8,9
0,39.0,54.0,34.0,33.0,40.0,28.0,29.0,49.0,53.0,41.0
5,37.875311979817056,54.875311979817056,34.875311979817056,31.87531197981706,38.875311979817056,26.87531197981706,27.87531197981706,48.875311979817056,53.875311979817056,40.875311979817056
10,38.7512458437292,54.7512458437292,35.7512458437292,32.7512458437292,39.7512458437292,27.7512458437292,28.7512458437292,50.7512458437292,54.7512458437292,40.7512458437292
15,37.627798490076565,53.627798490076565,35.627798490076565,31.627798490076565,39.627798490076565,26.627798490076565,27.627798490076565,47.627798490076565,54.627798490076565,40.627798490076565
20,37.504966832668885,54.504966832668885,35.504966832668885,31.50496683266888,39.504966832668885,26.50496683266888,28.50496683266888,49.504966832668885,54.504966832668885,40.504966832668885
25,38.382747800708316,53.382747800708316,35.382747800708316,31.382747800708316,39.382747800708316,26.382747800708316,27.382747800708316,50.382747800708316,52.382747800708316,39.382747800708316
30,38.261138338712705,54.261138338712705,35.261138338712705,31.261138338712705,39.261138338712705,27.261138338712705,27.261138338712705,48.261138338712705,54.261138338712705,40.261138338712705
35,37.14013540643916,53.14013540643916,34.14013540643916,32.14013540643916,38.14013540643916,26.14013540643916,27.14013540643916,49.14013540643916,54.14013540643916,40.14013540643916
40,37.01973597880808,54.01973597880808,34.01973597880808,31.01973597880808,38.01973597880808,27.01973597880808,27.01973597880808,50.01973597880808,53.01973597880808,39.01973597880808
45,36.8999370458275,52.8999370458275,34.8999370458275,31.8999370458275,37.8999370458275,25.8999370458275,25.8999370458275,49.8999370458275,52.8999370458275,39.8999370458275
50,37.78073561251785,53.78073561251785,32.78073561251785,30.78073561251785,38.78073561251785,25.78073561251785,26.78073561251785,46.78073561251785,51.78073561251785,39.78073561251785
55,37.662128698837094,53.662128698837094,34.662128698837094,30.662128698837094,37.662128698837094,26.662128698837094,25.662128698837094,48.662128698837094,51.662128698837094,38.662128698837094
60,36.54411333960621,53.54411333960621,34.54411333960621,31.544113339606216,38.54411333960621,25.544113339606216,28.544113339606216,47.54411333960621,53.54411333960621,39.54411333960621
65,36.42668658443509,53.42668658443509,32.42668658443509,31.426686584435085,37.42668658443509,25.426686584435085,26.426686584435085,47.42668658443509,51.42668658443509,38.42668658443509
70,37.30984549764871,52.30984549764871,32.30984549764871,31.309845497648706,37.30984549764871,26.309845497648706,25.309845497648706,47.30984549764871,52.30984549764871,39.30984549764871
75,37.193587158213816,53.193587158213816,34.193587158213816,30.19358715821382,37.193587158213816,26.19358715821382,25.19358715821382,47.193587158213816,53.193587158213816,38.193587158213816
80,36.077908659665894,52.077908659665894,32.077908659665894,30.077908659665894,37.077908659665894,26.077908659665894,28.077908659665894,47.077908659665894,53.077908659665894,39.077908659665894
85,36.96280711003644,51.96280711003644,32.96280711003644,29.962807110036433,37.96280711003644,25.962807110036433,24.962807110036433,47.96280711003644,51.96280711003644,37.96280711003644
90,35.848279631780706,51.848279631780706,33.848279631780706,29.848279631780706,36.848279631780706,24.848279631780706,26.848279631780706,46.848279631780706,51.848279631780706,37.848279631780706
95,36.73432336170579,52.73432336170579,33.73432336170579,30.734323361705787,36.73432336170579,24.734323361705787,27.734323361705787,45.73432336170579,50.73432336170579,38.73432336170579
100,35.62093545089898,51.62093545089898,32.62093545089898,30.620935450898987,37.62093545089898,25.620935450898987,27.620935450898987,46.62093545089898,50.62093545089898,37.62093545089898
105,36.50811306465664,51.50811306465664,31.50811306465664,29.50811306465664,36.50811306465664,25.50811306465664,24.50811306465664,46.50811306465664,51.50811306465664,37.50811306465664
110,35.39585338241321,51.39585338241321,31.395853382413204,29.395853382413204,37.39585338241321,24.395853382413204,27.395853382413204,45.39585338241321,52.39585338241321,38.39585338241321
115,36.28415359767078,52.28415359767078,32.28415359767078,29.284153597670784,36.28415359767078,24.284153597670784,27.284153597670784,46.28415359767078,52.28415359767078,38.28415359767078
120,35.173010917928934,52.173010917928934,33.173010917928934,29.173010917928938,37.173010917928934,25.173010917928938,24.173010917928938,45.173010917928934,52.173010917928934,38.173010917928934
125,36.06242256461489,51.06242256461489,31.062422564614888,30.062422564614888,36.06242256461489,24.062422564614888,27.062422564614888,45.06242256461489,50.06242256461489,38.06242256461489
130,34.95238577301403,50.95238577301403,31.952385773014033,29.952385773014033,35.95238577301403,24.952385773014033,24.952385773014033,46.95238577301403,49.95238577301403,36.95238577301403
135,35.84289779220086,50.84289779220086,32.84289779220086,28.842897792200862,36.84289779220086,24.842897792200862,26.842897792200862,45.84289779220086,49.84289779220086,37.84289779220086
140,34.73395588497014,50.73395588497014,30.733955884970147,28.733955884970147,35.73395588497014,23.733955884970147,24.733955884970147,45.73395588497014,50.73395588497014,36.73395588497014
145,35.62555732776853,51.62555732776853,31.625557327768533,28.625557327768533,35.62555732776853,24.625557327768533,26.625557327768533,47.62555732776853,51.62555732776853,36.62555732776853
150,35.51769941062645,50.51769941062645,30.517699410626445,29.517699410626445,36.51769941062645,24.517699410626445,24.517699410626445,45.51769941062645,51.51769941062645,37.51769941062645
155,35.41037943709034,50.41037943709034,31.410379437090338,29.410379437090338,35.41037943709034,24.410379437090338,23.410379437090338,44.41037943709034,50.41037943709034,37.41037943709034
160,35.30359472415528,51.30359472415528,32.30359472415528,29.303594724155282,36.30359472415528,23.303594724155282,25.303594724155282,47.30359472415528,50.30359472415528,36.30359472415528
165,35.19734260219789,50.19734260219789,32.19734260219789,28.197342602197896,36.19734260219789,23.197342602197896,25.197342602197896,44.19734260219789,50.19734260219789,36.19734260219789
170,34.09162041490959,50.09162041490959,30.091620414909592,29.091620414909592,35.09162041490959,23.091620414909592,26.091620414909592,46.09162041490959,49.09162041490959,37.09162041490959
